start,end,ic,swmode,errmsg,index
2018-01-26T23:31:50.000000000,2018-01-26T02:36:53.652664000,1,2,_split_tint failed,3335
2018-01-26T23:31:50.000000000,2018-01-26T02:36:53.652664000,2,2,_split_tint failed,3347
2024-03-16T18:25:05.000000000,2024-03-16T18:30:30.000000000,3,2,_check_aspoc failed,3104
2024-03-16T18:41:30.000000000,2024-03-18T00:40:49.337527500,3,2,_check_aspoc failed,3105
2024-03-18T00:40:49.337527500,2024-03-18T21:40:42.477128500,3,2,_check_aspoc failed,3106
2024-03-18T21:40:42.477128500,2024-03-19T14:06:40.000000000,3,2,_check_aspoc failed,3107
2024-03-19T14:10:50.000000000,2024-03-19T14:22:50.000000000,3,2,_check_aspoc failed,3108
2024-03-20T04:53:10.000000000,2024-03-20T05:12:05.000000000,3,2,_check_aspoc failed,3109
2024-03-20T05:14:05.000000000,2024-03-21T13:15:51.661325500,3,2,_check_aspoc failed,3110
2024-03-21T13:15:51.661325500,2024-03-22T08:45:56.576836500,3,2,_check_aspoc failed,3111
2024-03-22T08:45:56.576836500,2024-03-22T21:11:00.000000000,3,2,_check_aspoc failed,3112
2024-03-23T00:45:00.000000000,2024-03-23T04:01:50.000000000,3,2,_check_aspoc failed,3113
2024-03-23T14:28:00.000000000,2024-03-23T14:32:10.000000000,3,2,_check_aspoc failed,3114
2024-02-25T19:55:52.652095500,2024-02-26T16:30:55.459279500,3,2,_check_aspoc failed,3072
2024-03-23T16:35:00.000000000,2024-03-25T01:50:46.228146000,3,2,_check_aspoc failed,3115
2024-03-25T01:50:46.228146000,2024-03-25T23:05:50.493350000,3,2,_check_aspoc failed,3116
2024-02-26T16:30:55.459279500,2024-02-27T09:20:55.000000000,3,2,_check_aspoc failed,3073
2024-02-27T09:24:50.000000000,2024-02-27T09:28:00.000000000,3,2,_check_aspoc failed,3074
2024-02-27T10:02:20.000000000,2024-02-27T10:05:25.000000000,3,2,_check_aspoc failed,3075
2024-02-13T06:19:10.000000000,2024-02-13T06:30:30.000000000,3,2,_check_aspoc failed,3048
2024-02-13T06:35:10.000000000,2024-02-13T06:49:30.000000000,3,2,_check_aspoc failed,3049
2024-02-13T21:15:10.000000000,2024-02-13T21:40:20.000000000,3,2,_check_aspoc failed,3050
2024-02-13T22:02:35.000000000,2024-02-13T22:20:40.000000000,3,2,_check_aspoc failed,3051
2024-02-28T00:54:50.000000000,2024-02-28T01:03:10.000000000,3,2,_check_aspoc failed,3076
2024-02-28T01:08:40.000000000,2024-02-28T01:18:25.000000000,3,2,_check_aspoc failed,3077
2024-02-28T01:31:30.000000000,2024-02-29T08:46:00.752067000,3,2,_check_aspoc failed,3078
2018-01-26T23:31:50.000000000,2018-01-26T02:36:53.652664000,3,2,_split_tint failed,3349
2024-02-13T22:37:20.000000000,2024-02-14T01:26:50.000000000,3,2,_check_aspoc failed,3052
2024-02-14T01:34:10.000000000,2024-02-14T02:17:00.000000000,3,2,_check_aspoc failed,3053
2024-02-14T02:22:45.000000000,2024-02-14T02:30:55.000000000,3,2,_check_aspoc failed,3054
2024-02-14T02:37:55.000000000,2024-02-15T05:50:53.336575000,3,2,_check_aspoc failed,3055
2024-02-29T08:46:00.752067000,2024-03-01T05:10:56.514138000,3,2,_check_aspoc failed,3079
2024-03-01T05:10:56.514138000,2024-03-01T20:22:10.000000000,3,2,_check_aspoc failed,3080
2024-02-15T05:50:53.336575000,2024-02-16T03:55:58.260152000,3,2,_check_aspoc failed,3056
2024-02-16T03:55:58.260152000,2024-02-16T16:28:20.000000000,3,2,_check_aspoc failed,3057
2024-02-16T17:31:20.000000000,2024-02-16T17:50:30.000000000,3,2,_check_aspoc failed,3058
2024-02-16T17:55:45.000000000,2024-02-16T18:10:10.000000000,3,2,_check_aspoc failed,3059
2024-03-02T13:18:35.000000000,2024-03-02T13:22:30.000000000,3,2,_check_aspoc failed,3081
2024-03-02T14:24:50.000000000,2024-03-03T21:25:51.736023000,3,2,_check_aspoc failed,3082
2024-02-17T11:04:15.000000000,2024-02-17T11:20:35.000000000,3,2,_check_aspoc failed,3060
2024-02-17T11:40:00.000000000,2024-02-17T12:18:50.000000000,3,2,_check_aspoc failed,3061
2024-03-03T21:25:51.736023000,2024-03-04T17:41:00.046903000,3,2,_check_aspoc failed,3083
2024-03-04T17:41:00.046903000,2024-03-04T19:04:55.000000000,3,2,_check_aspoc failed,3084
2024-02-17T12:34:05.000000000,2024-02-18T18:35:51.425553500,3,2,_check_aspoc failed,3062
2024-02-18T18:35:51.425553500,2024-02-19T16:25:54.287854500,3,2,_check_aspoc failed,3063
2024-03-04T22:42:30.000000000,2024-03-05T08:49:30.000000000,3,2,_check_aspoc failed,3085
2024-03-06T02:44:55.000000000,2024-03-06T02:52:55.000000000,3,2,_check_aspoc failed,3086
2024-02-19T16:25:54.287854500,2024-02-20T07:34:20.000000000,3,2,_check_aspoc failed,3064
2024-03-06T03:07:50.000000000,2024-03-06T03:42:40.000000000,3,2,_check_aspoc failed,3087
2024-02-20T23:38:05.000000000,2024-02-20T23:46:45.000000000,3,2,_check_aspoc failed,3065
2024-03-06T03:49:55.000000000,2024-03-06T04:35:10.000000000,3,2,_check_aspoc failed,3088
2024-03-06T05:04:20.000000000,2024-03-06T12:19:50.456669000,3,2,_check_aspoc failed,3089
2024-03-06T12:19:50.456669000,2024-03-07T10:11:03.101648000,3,2,_check_aspoc failed,3090
2024-02-21T00:27:20.000000000,2024-02-22T07:05:56.063543000,3,2,_check_aspoc failed,3066
2024-03-07T10:11:03.101648000,2024-03-08T06:16:01.238487000,3,2,_check_aspoc failed,3091
2024-03-08T06:16:01.238487000,2024-03-08T23:14:40.000000000,3,2,_check_aspoc failed,3092
2024-03-08T23:18:50.000000000,2024-03-08T23:24:05.000000000,3,2,_check_aspoc failed,3093
2024-02-22T07:05:56.063543000,2024-02-23T05:05:52.195794000,3,2,_check_aspoc failed,3067
2024-02-23T05:05:52.195794000,2024-02-23T17:46:35.000000000,3,2,_check_aspoc failed,3068
2024-02-23T17:52:45.000000000,2024-02-23T18:27:40.000000000,3,2,_check_aspoc failed,3069
2024-03-09T15:25:55.000000000,2024-03-09T16:02:15.000000000,3,2,_check_aspoc failed,3094
2024-02-23T18:36:50.000000000,2024-02-23T18:54:10.000000000,3,2,_check_aspoc failed,3070
2024-03-09T16:05:15.000000000,2024-03-10T22:55:57.015936000,3,2,_check_aspoc failed,3095
2024-03-10T22:55:57.015936000,2024-03-11T19:16:03.491141000,3,2,_check_aspoc failed,3096
2024-03-11T19:16:03.491141000,2024-03-12T11:32:20.000000000,3,2,_check_aspoc failed,3097
2024-03-13T04:35:05.000000000,2024-03-13T04:39:40.000000000,3,2,_check_aspoc failed,3098
2024-02-24T12:13:00.000000000,2024-02-25T19:55:52.652095500,3,2,_check_aspoc failed,3071
2024-03-13T04:41:50.000000000,2024-03-14T11:45:59.343015000,3,2,_check_aspoc failed,3099
2024-03-14T11:45:59.343015000,2024-03-15T08:50:44.595899000,3,2,_check_aspoc failed,3100
2024-03-15T08:50:44.595899000,2024-03-15T22:31:30.000000000,3,2,_check_aspoc failed,3101
2024-03-15T22:45:00.000000000,2024-03-15T22:50:40.000000000,3,2,_check_aspoc failed,3102
2024-03-15T22:53:30.000000000,2024-03-15T22:57:20.000000000,3,2,_check_aspoc failed,3103
2023-04-22T00:27:25.000000000,2023-04-22T00:30:05.000000000,4,2,_check_vsc failed,2503
2023-04-22T00:58:40.000000000,2023-04-22T01:05:35.000000000,4,2,_check_vsc failed,2504
2023-04-22T01:37:20.000000000,2023-04-22T01:54:15.000000000,4,2,_check_vsc failed,2505
2023-04-22T02:14:10.000000000,2023-04-23T04:31:37.740045500,4,2,_check_vsc failed,2506
2023-04-23T04:31:37.740045500,2023-04-23T23:11:41.843208500,4,2,_check_vsc failed,2507
2019-03-14T03:32:56.736282500,2019-03-03T13:27:26.002297000,4,2,_check_vsc failed,3231
2018-01-26T23:31:50.000000000,2018-01-26T02:36:53.652664000,4,2,_split_tint failed,3348
